id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,64,2015,0,180560,0.141,0.78,0.68,1.2e-05,4,0.138,-6.081,1,0.0305,118.026,0.594,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,Band Aid,80,2004,0,222533,0.1639999999999999,0.599,0.642,3.33e-05,0,0.0992,-6.936,1,0.0363,115.412,0.349,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
024Q1MI4uaYHF6j2Q2ZYgF,Overnight Celebrity,Twista,56,2004,1,233360,0.182,0.828,0.792,0.0,10,0.281,-5.435,0,0.179,134.19899999999998,0.777,https://open.spotify.com/track/2tOZtdbkAMQASWokLvSlzj
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,Katy Perry,75,2018,0,182521,0.128,0.774,0.608,0.0,7,0.0895,-6.263999999999999,1,0.128,137.494,0.56,https://open.spotify.com/track/02FaKXXL7KUtRc7K0k54tL
02KG9DpLT3bV4fzUM1bORW,Aquí No Es Así,Caifanes,61,1994,0,294267,0.0268,0.616,0.7659999999999999,1.05e-06,5,0.3289999999999999,-11.095,1,0.0321,105.764,0.883,https://open.spotify.com/track/02KG9DpLT3bV4fzUM1bORW
02M6vucOvmRfMxTXDUwRXu,7/11,Beyoncé,71,2014,0,213507,0.0128,0.747,0.705,0.0,9,0.126,-5.1370000000000005,0,0.126,136.024,0.56,https://open.spotify.com/track/02M6vucOvmRfMxTXDUwRXu
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,76,2020,0,238805,0.44,0.7609999999999999,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,0.531,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
02QQXgeAghpU4smdM7l7We,Spotlight,Jennifer Hudson,62,2008,0,250107,0.0448,0.7070000000000001,0.7240000000000001,0.0,11,0.072,-3.887,0,0.051,108.984,0.659,https://open.spotify.com/track/1KzW2k1dNh9nJrK6WhneTW
02RCbjb9czvQKNGBmEmWob,Woah,Lil Baby,68,2020,1,183011,0.0177,0.883,0.599,0.0,11,0.179,-5.551,1,0.248,142.976,0.413,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
02UJ1sCanP94fS2MdsWafh,PERSIAN RUGS,PARTYNEXTDOOR,69,2020,1,174307,0.0489,0.768,0.428,0.000491,1,0.105,-8.156,0,0.0459,110.478,0.147,https://open.spotify.com/track/02UJ1sCanP94fS2MdsWafh
